0000,Blueberry Muffins,148,19,5,6,15,69,2,103,50
0001,Easy Pumpkin Spice Bagels,182,33,9,2,2,153,4,241,35
0010,Double-Chocolate Pumpkin Bread,195,27,4,8,15,43,1,125,70
0011,Chocolate Brownie,340,53,5,14,39,1.74,3,40,30
0100,Chocolate Cake - Slice,570,66,5,33,46,5.6,3,29,45
0101,Nature Valley OAT N HONEY,190,29,4,0.5,12,0,0,20,0
0110,Chocolate Chunk Cookie,370,53,4,18,32,1.7,2,40,60
0111,Popcorn,375,74,11,4.3,0.9,0,13,120,0
1000,Vanilla Ice Cream,137,16,2.3,7,14,5.28,0.5,69,0
1001,Pudding,170,28,4.5,4.5,17,21.3,1.1,69,0
1010,Fruit Cake,139,26.5,1.2,3.9,12.8,14.2,1.6,40,0
1011,Buttermilk Waffle,104,15.6,2.5,3.5,1.6,106,0.8,60,50
1100,Chocolate Chip Waffle,102,15.7,2,3.5,4.6,125,0.5,60,50
1101,Cheese Flavor Potato Chips,141,16.4,2.4,7.7,0,20.4,1.5,20,0
1110,Salted Plain Potato Chips,155,14.1,1.9,10.6,1.2,6.8,1.2,20,0
1111,Oat Bran Muffin,178,31.9,4.6,4.9,5.4,41.6,3,50,30